epoch,batch,loss,time
0,10,419.81719970703125,1771047421.5855854
0,20,417.7766342163086,1771047421.749925
0,30,416.7849965413412,1771047421.9121816
0,40,416.3927879333496,1771047422.0730798
1,10,413.8962707519531,1771047422.3104248
1,20,412.85131072998047,1771047422.4713244
1,30,412.6880706787109,1771047422.6316469
1,40,412.7914268493652,1771047422.9313939
2,10,409.4531005859375,1771047423.1883628
2,20,410.20800933837893,1771047423.3534477
2,30,409.1943593343099,1771047423.5123746
2,40,408.8003189086914,1771047423.6780353
3,10,405.86854858398436,1771047423.9077008
3,20,405.1905456542969,1771047424.0709982
3,30,404.03875122070315,1771047424.2337925
3,40,403.75098419189453,1771047424.3974159
4,10,398.66302490234375,1771047424.622055
4,20,397.90784912109376,1771047424.7843115
4,30,397.56248067220054,1771047424.953356
4,40,397.36931228637695,1771047425.1164293
5,10,391.88344116210936,1771047425.3434882
5,20,391.44192657470705,1771047425.506679
5,30,390.8430409749349,1771047425.668216
5,40,389.56992568969724,1771047425.8309195
6,10,383.83913269042966,1771047426.0596485
6,20,381.8156036376953,1771047426.2282467
6,30,381.126264444987,1771047426.4114974
6,40,379.8077865600586,1771047426.5799193
7,10,372.1986450195312,1771047426.810278
7,20,370.19413299560546,1771047426.9741127
7,30,368.4757446289062,1771047427.1391199
7,40,367.70457458496094,1771047427.303495
8,10,360.03919982910156,1771047427.5319839
8,20,358.06534576416016,1771047427.6953588
8,30,355.5044891357422,1771047427.8595166
8,40,353.6265380859375,1771047428.0218096
9,10,345.2394500732422,1771047428.249399
9,20,341.77059478759764,1771047428.4136724
9,30,340.1057098388672,1771047428.5778034
9,40,337.7356887817383,1771047428.741097
10,10,326.4342864990234,1771047428.9715798
10,20,324.9920822143555,1771047429.1341052
10,30,322.336094156901,1771047429.2983997
10,40,320.2974113464355,1771047429.4736013
11,10,308.0649017333984,1771047429.70398
11,20,306.27124786376953,1771047429.8668902
11,30,304.0323811848958,1771047430.0308728
11,40,301.72339096069334,1771047430.194126
12,10,289.72955017089845,1771047430.4325414
12,20,287.27120513916014,1771047430.5959644
